Model,R2,MAE,RMSE,Best
Random Forest,0.9650908739350911,2.32935939139559,3.245799269395568,⭐
Gradient Boosting,0.9522589776340475,2.9176247136185,3.7957537296477173,
KNN,0.9519810463854638,2.767581322140606,3.8067864597390337,
SVR,0.942493402307517,3.1879389488258587,4.165920777554922,
Decision Tree,0.9330316434086611,3.107098635886674,4.495593044367632,
Linear Regression,0.930770359025058,3.6629807391795595,4.57086305205826,
